Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-ADYKC,Study sample,0200_XAV_iHMP2_LIP_SM-ADYKC.raw,,4/7/2017,4/8/2017,1,213,PREFB11
SM-AE3QV,Study sample,0519_XAV_iHMP2_LIP_SM-AE3QV.raw,,4/12/2017,4/13/2017,1,561,PREFB27
SM-AE3RC,Study sample,0362_XAV_iHMP2_LIP_SM-AE3RC.raw,,4/10/2017,4/11/2017,1,386,PREFB19
SM-AEB6U,Study sample,0227_XAV_iHMP2_LIP_SM-AEB6U.raw,,4/7/2017,4/9/2017,1,244,PREFB12
SM-AF6M6,Study sample,0205_XAV_iHMP2_LIP_SM-AF6M6.raw,,4/7/2017,4/9/2017,1,220,PREFB11
SM-AF6MI,Study sample,0088_XAV_iHMP2_LIP_SM-AF6MI.raw,,4/5/2017,4/7/2017,1,95,PREFB05
SM-AF6MY,Study sample,0111_XAV_iHMP2_LIP_SM-AF6MY.raw,,4/6/2017,4/7/2017,1,119,PREFB06
SM-AF6NB,Study sample,0396_XAV_iHMP2_LIP_SM-AF6NB.raw,,4/11/2017,4/12/2017,1,427,PREFB21
SM-AFCK9,Study sample,0533_XAV_iHMP2_LIP_SM-AFCK9.raw,,4/12/2017,4/14/2017,1,577,PREFB28
SM-AFCKD,Study sample,0401_XAV_iHMP2_LIP_SM-AFCKD.raw,,4/11/2017,4/12/2017,1,434,PREFB21
SM-AFCKH,Study sample,0023_XAV_iHMP2_LIP_SM-AFCKH.raw,,4/5/2017,4/6/2017,1,25,PREFB02
SM-AFJ1N,Study sample,0484_XAV_iHMP2_LIP_SM-AFJ1N.raw,,4/12/2017,4/13/2017,1,525,PREFB25
SM-AFSHZ,Study sample,0523_XAV_iHMP2_LIP_SM-AFSHZ.raw,,4/12/2017,4/14/2017,1,567,PREFB27
SM-AFSIG,Study sample,0461_XAV_iHMP2_LIP_SM-AFSIG.raw,,4/11/2017,4/13/2017,1,500,PREFB24
SM-AFSIK,Study sample,0352_XAV_iHMP2_LIP_SM-AFSIK.raw,,4/10/2017,4/11/2017,1,374,PREFB19
SM-AFSIO,Study sample,0455_XAV_iHMP2_LIP_SM-AFSIO.raw,,4/11/2017,4/12/2017,1,492,PREFB24
SM-AG2E3,Study sample,0108_XAV_iHMP2_LIP_SM-AG2E3.raw,,4/6/2017,4/7/2017,1,117,PREFB06
SM-AG78Z,Study sample,0097_XAV_iHMP2_LIP_SM-AG78Z.raw,,4/6/2017,4/7/2017,1,104,PREFB06
SM-AGULV,Study sample,0405_XAV_iHMP2_LIP_SM-AGULV.raw,,4/11/2017,4/12/2017,1,438,PREFB21
SM-AGUMC,Study sample,0542_XAV_iHMP2_LIP_SM-AGUMC.raw,,4/12/2017,4/14/2017,1,588,PREFB28
SM-AGUMK,Study sample,0146_XAV_iHMP2_LIP_SM-AGUMK.raw,,4/6/2017,4/8/2017,1,153,PREFB09
SM-AGUN1,Study sample,0495_XAV_iHMP2_LIP_SM-AGUN1.raw,,4/12/2017,4/13/2017,1,536,PREFB26
SM-AGUN5,Study sample,0077_XAV_iHMP2_LIP_SM-AGUN5.raw,,4/5/2017,4/7/2017,1,83,PREFB05
SM-AGUND,Study sample,0177_XAV_iHMP2_LIP_SM-AGUND.raw,,4/6/2017,4/8/2017,1,186,PREFB10
SM-AGUNH,Study sample,0468_XAV_iHMP2_LIP_SM-AGUNH.raw,,4/11/2017,4/13/2017,1,507,PREFB24
SM-AHF2E,Study sample,0063_XAV_iHMP2_LIP_SM-AHF2E.raw,,4/5/2017,4/6/2017,1,69,PREFB04
SM-AHUNW,Study sample,0391_XAV_iHMP2_LIP_SM-AHUNW.raw,,4/11/2017,4/11/2017,1,422,PREFB21
SM-AHUO1,Study sample,0488_XAV_iHMP2_LIP_SM-AHUO1.raw,,4/12/2017,4/13/2017,1,529,PREFB25
SM-AI38G,Study sample,0356_XAV_iHMP2_LIP_SM-AI38G.raw,,4/10/2017,4/11/2017,1,378,PREFB19
SM-AIG54,Study sample,0332_XAV_iHMP2_LIP_SM-AIG54.raw,,4/10/2017,4/11/2017,1,353,PREFB18
SM-AIG5S,Study sample,0368_XAV_iHMP2_LIP_SM-AIG5S.raw,,4/10/2017,4/11/2017,1,392,PREFB19
SM-AIG6P,Study sample,0371_XAV_iHMP2_LIP_SM-AIG6P.raw,,4/10/2017,4/11/2017,1,395,PREFB20
SM-AIG8M,Study sample,0347_XAV_iHMP2_LIP_SM-AIG8M.raw,,4/10/2017,4/11/2017,1,369,PREFB18
SM-AIRV5,Study sample,0203_XAV_iHMP2_LIP_SM-AIRV5.raw,,4/7/2017,4/8/2017,1,218,PREFB11
SM-AJC3J,Study sample,0361_XAV_iHMP2_LIP_SM-AJC3J.raw,,4/10/2017,4/11/2017,1,385,PREFB19
SM-AJDM5,Study sample,0462_XAV_iHMP2_LIP_SM-AJDM5.raw,,4/11/2017,4/13/2017,1,501,PREFB24
SM-AK8KS,Study sample,0440_XAV_iHMP2_LIP_SM-AK8KS.raw,,4/11/2017,4/12/2017,1,475,PREFB23
SM-AK8LH,Study sample,0452_XAV_iHMP2_LIP_SM-AK8LH.raw,,4/11/2017,4/12/2017,1,489,PREFB24
SM-AKTXS,Study sample,0086_XAV_iHMP2_LIP_SM-AKTXS.raw,,4/5/2017,4/7/2017,1,93,PREFB05
SM-AKTY5,Study sample,0534_XAV_iHMP2_LIP_SM-AKTY5.raw,,4/12/2017,4/14/2017,1,578,PREFB28
SM-AKTYH,Study sample,0139_XAV_iHMP2_LIP_SM-AKTYH.raw,,4/6/2017,4/7/2017,1,144,PREFB08
SM-AKTYL,Study sample,0310a_0291_XAVri_iHMP2_LIP_SM-AKTYL.raw,reinj,4/7/2017,4/10/2017,1,334,PREFB16
SM-AKTYX,Study sample,0307_XAV_iHMP2_LIP_SM-AKTYX.raw,,4/7/2017,4/10/2017,1,322,PREFB16
SM-AKTZI,Study sample,0548_XAV_iHMP2_LIP_SM-AKTZI.raw,,4/12/2017,4/14/2017,1,592,PREFB28
SM-AM1I6,Study sample,0485_XAV_iHMP2_LIP_SM-AM1I6.raw,,4/12/2017,4/13/2017,1,526,PREFB25
