Sample ID,Type,Raw file name,Comment,Date.extracted,Date.injected,Column,Injection.Order,Ref.to.Use
SM-9RTV8,Study sample,0042_XAV_iHMP2_CMH_SM-9RTV8.raw,,2/27/2017,3/1/2017,1,48,
SM-9RYI7,Study sample,0510_XAV_iHMP2_CMH_SM-9RYI7.raw,,3/9/2017,3/13/2017,2,568,
SM-9SD8V,Study sample,0099_XAV_iHMP2_CMH_SM-9SD8V.raw,,2/28/2017,3/2/2017,1,109,
SM-9SIIW,Study sample,0428_XAV_iHMP2_CMH_SM-9SIIW.raw,,3/8/2017,3/11/2017,2,478,
SM-9SIJ5,Study sample,0164_XAV_iHMP2_CMH_SM-9SIJ5.raw,,3/1/2017,3/4/2017,1,184,
SM-9SIJB,Study sample,0181_XAV_iHMP2_CMH_SM-9SIJB.raw,,3/1/2017,3/4/2017,1,203,
SM-9SIZI,Study sample,0333_XAV_iHMP2_CMH_SM-9SIZI.raw,,3/7/2017,3/9/2017,2,371,
SM-9SIZM,Study sample,0204_XAV_iHMP2_CMH_SM-9SIZM.raw,,3/2/2017,3/4/2017,1,228,
SM-9SKIL,Study sample,0031_XAV_iHMP2_CMH_SM-9SKIL.raw,,2/27/2017,3/1/2017,1,35,
SM-9SNJ4,Study sample,0433_XAV_iHMP2_CMH_SM-9SNJ4.raw,,3/8/2017,3/11/2017,2,483,
SM-9SNJ8,Study sample,0256_XAV_iHMP2_CMH_SM-9SNJ8.raw,,3/2/2017,3/5/2017,1,284,PREFB15
SM-9T55H,Study sample,0221_XAV_iHMP2_CMH_SM-9T55H.raw,,3/2/2017,3/5/2017,1,247,
SM-9T55L,Study sample,0450_XAV_iHMP2_CMH_SM-9T55L.raw,,3/8/2017,3/11/2017,2,502,
SM-9U25X,Study sample,0363_XAV_iHMP2_CMH_SM-9U25X.raw,,3/7/2017,3/9/2017,2,405,
SM-9U262,Study sample,0476_XAV_iHMP2_CMH_SM-9U262.raw,,3/9/2017,3/12/2017,2,530,
SM-9U26Q,Study sample,0228_XAV_iHMP2_CMH_SM-9U26Q.raw,,3/2/2017,3/5/2017,1,254,
SM-9UCZF,Study sample,0171_XAV_iHMP2_CMH_SM-9UCZF.raw,,3/1/2017,3/4/2017,1,191,
SM-9UW5S,Study sample,0127_XAV_iHMP2_CMH_SM-9UW5S.raw,,2/28/2017,3/3/2017,1,143,
SM-9VE4Y,Study sample,0388_XAV_iHMP2_CMH_SM-9VE4Y.raw,,3/7/2017,3/10/2017,2,434,
SM-9VW8T,Study sample,0365_XAV_iHMP2_CMH_SM-9VW8T.raw,,3/7/2017,3/9/2017,2,407,
SM-9VW8X,Study sample,0073_XAV_iHMP2_CMH_SM-9VW8X.raw,,2/28/2017,3/2/2017,1,81,
SM-9VWAW,Study sample,0288_XAV_iHMP2_CMH_SM-9VWAW.raw,,3/6/2017,3/8/2017,2,322,PREFB18
SM-9VWC6,Study sample,0494_XAV_iHMP2_CMH_SM-9VWC6.raw,,3/9/2017,3/12/2017,2,550,
SM-9VWCE,Study sample,0403_XAV_iHMP2_CMH_SM-9VWCE.raw,,3/8/2017,3/10/2017,2,451,
SM-9VWCQ,Study sample,0154_XAV_iHMP2_CMH_SM-9VWCQ.raw,,3/1/2017,3/3/2017,1,172,
SM-9W3AD,Study sample,0019_XAV_iHMP2_CMH_SM-9W3AD.raw,,2/27/2017,2/28/2017,1,21,
SM-9W3AZ,Study sample,0147_XAV_iHMP2_CMH_SM-9W3AZ.raw,,3/1/2017,3/3/2017,1,165,
SM-9W3B4,Study sample,0345_XAV_iHMP2_CMH_SM-9W3B4.raw,,3/7/2017,3/9/2017,2,385,
SM-9W7VZ,Study sample,0249_XAV_iHMP2_CMH_SM-9W7VZ.raw,,3/2/2017,3/5/2017,1,277,
SM-9W7W4,Study sample,0390_XAV_iHMP2_CMH_SM-9W7W4.raw,,3/7/2017,3/10/2017,2,436,
SM-9W7W8,Study sample,0078_XAV_iHMP2_CMH_SM-9W7W8.raw,,2/28/2017,3/2/2017,1,86,
SM-9WOBD,Study sample,0490_XAV_iHMP2_CMH_SM-9WOBD.raw,,3/9/2017,3/12/2017,2,546,
SM-9WOBP,Study sample,0051_XAV_iHMP2_CMH_SM-9WOBP.raw,,2/27/2017,3/1/2017,1,57,
SM-9WOBT,Study sample,0007_XAV_iHMP2_CMH_SM-9WOBT.raw,,2/27/2017,2/28/2017,1,9,
SM-9WYEF,Study sample,0263_XAV_iHMP2_CMH_SM-9WYEF.raw,,3/6/2017,3/7/2017,2,295,PREFB18
